XL,A,C,G,S,U,P,loss,nt,label,mass,round_4digits,1+,round_1+,simp_label,methyl_1+,fluoro_1+,azido_1+
S,0,0,1,1,0,4,_H2S_H2O,3.0,SGS+4P-H2S-H2O,1035.030975,1035.031,1036.0387999999998,1036.0388,XGS+4P,1078.0857499999997,1090.0105339999998,1159.0429909999998
S,0,1,1,0,0,4,_H2S,3.0,SCG+4P-H2S,1036.080367,1036.0804,1037.088192,1037.0882,XCG+4P,1079.1351419999999,1091.059926,1160.092383
S,1,0,0,1,0,4,_H2S,3.0,SAS+4P-H2S,1037.046625,1037.0466,1038.05445,1038.0544,XAS+4P,1080.1014,1092.026184,1161.058641
S,0,0,1,0,1,4,_H2S,3.0,SGU+4P-H2S,1037.064383,1037.0644,1038.0722079999998,1038.0722,XGU+4P,1080.1191579999997,1092.0439419999998,1161.0763989999998
S,1,0,1,0,0,4,_H2S_H2O,3.0,SAG+4P-H2S-H2O,1042.081035,1042.081,1043.0888599999998,1043.0889,XAG+4P,1085.1358099999998,1097.0605939999998,1166.0930509999998
S,2,0,0,0,0,4,_H2S,3.0,SAA+4P-H2S,1044.096685,1044.0967,1045.10451,1045.1045,XAA+4P,1087.1514599999998,1099.0762439999999,1168.1087009999999
S,0,0,1,1,0,4,_H2S,3.0,SGS+4P-H2S,1053.04154,1053.0415,1054.049365,1054.0494,XGS+4P,1096.096315,1108.021099,1177.053556
S,0,0,2,0,0,4,_H2S_H2O,3.0,SGG+4P-H2S-H2O,1058.07595,1058.076,1059.0837749999998,1059.0838,XGG+4P,1101.1307249999998,1113.0555089999998,1182.0879659999998
S,1,0,1,0,0,4,_H2S,3.0,SAG+4P-H2S,1060.0916,1060.0916,1061.099425,1061.0994,XAG+4P,1103.146375,1115.071159,1184.103616
S,0,0,2,0,0,4,_H2S,3.0,SGG+4P-H2S,1076.086515,1076.0865,1077.09434,1077.0943,XGG+4P,1119.14129,1131.066074,1200.098531
S,0,3,0,0,0,3,_H2S_H2O,4.0,SCCC+3P-H2S-H2O,1123.172278,1123.1723,1124.180103,1124.1801,XCCC+3P,1180.242703,1196.1424149999998,1288.185691
S,0,2,0,0,1,3,_H2S_H2O,4.0,SCCU+3P-H2S-H2O,1124.156294,1124.1563,1125.1641189999998,1125.1641,XCCU+3P,1181.2267189999998,1197.1264309999997,1289.1697069999998
S,0,1,0,0,2,3,_H2S_H2O,4.0,SCUU+3P-H2S-H2O,1125.14031,1125.1403,1126.148135,1126.1481,XCUU+3P,1182.2107349999999,1198.110447,1290.153723
S,0,0,0,0,3,3,_H2S_H2O,4.0,SUUU+3P-H2S-H2O,1126.124326,1126.1243,1127.132151,1127.1322,XUUU+3P,1183.194751,1199.094463,1291.137739
S,0,2,0,1,0,3,_H2S_H2O,4.0,SCCS+3P-H2S-H2O,1140.133451,1140.1335,1141.1412759999998,1141.1413,XCCS+3P,1197.2038759999998,1213.103588,1305.1468639999998
S,0,1,0,1,1,3,_H2S_H2O,4.0,SCSU+3P-H2S-H2O,1141.117467,1141.1175,1142.125292,1142.1253,XCSU+3P,1198.187892,1214.0876039999998,1306.13088
S,0,3,0,0,0,3,_H2S,4.0,SCCC+3P-H2S,1141.182843,1141.1828,1142.190668,1142.1907,XCCC+3P,1198.253268,1214.1529799999998,1306.196256
S,0,0,0,1,2,3,_H2S_H2O,4.0,SSUU+3P-H2S-H2O,1142.101483,1142.1015,1143.1093079999998,1143.1093,XSUU+3P,1199.1719079999998,1215.0716199999997,1307.1148959999998
S,0,2,0,0,1,3,_H2S,4.0,SCCU+3P-H2S,1142.166859,1142.1669,1143.1746839999998,1143.1747,XCCU+3P,1199.2372839999998,1215.1369959999997,1307.1802719999998
S,0,1,0,0,2,3,_H2S,4.0,SCUU+3P-H2S,1143.150875,1143.1509,1144.1587,1144.1587,XCUU+3P,1200.2213,1216.121012,1308.164288
S,0,0,0,0,3,3,_H2S,4.0,SUUU+3P-H2S,1144.134891,1144.1349,1145.1427159999998,1145.1427,XUUU+3P,1201.2053159999998,1217.105028,1309.1483039999998
S,1,2,0,0,0,3,_H2S_H2O,4.0,SACC+3P-H2S-H2O,1147.183511,1147.1835,1148.191336,1148.1913,XACC+3P,1204.253936,1220.153648,1312.196924
S,1,1,0,0,1,3,_H2S_H2O,4.0,SACU+3P-H2S-H2O,1148.167527,1148.1675,1149.175352,1149.1754,XACU+3P,1205.237952,1221.1376639999999,1313.18094
S,1,0,0,0,2,3,_H2S_H2O,4.0,SAUU+3P-H2S-H2O,1149.151543,1149.1515,1150.159368,1150.1594,XAUU+3P,1206.221968,1222.1216800000002,1314.164956
S,0,1,0,2,0,3,_H2S_H2O,4.0,SCSS+3P-H2S-H2O,1157.094624,1157.0946,1158.102449,1158.1024,XCSS+3P,1214.165049,1230.064761,1322.108037
S,0,0,0,2,1,3,_H2S_H2O,4.0,SSSU+3P-H2S-H2O,1158.07864,1158.0786,1159.086465,1159.0865,XSSU+3P,1215.149065,1231.048777,1323.092053
S,0,2,0,1,0,3,_H2S,4.0,SCCS+3P-H2S,1158.144016,1158.144,1159.151841,1159.1518,XCCS+3P,1215.214441,1231.114153,1323.157429
S,0,1,0,1,1,3,_H2S,4.0,SCSU+3P-H2S,1159.128032,1159.128,1160.135857,1160.1359,XCSU+3P,1216.198457,1232.0981689999999,1324.141445
S,0,0,0,1,2,3,_H2S,4.0,SSUU+3P-H2S,1160.112048,1160.112,1161.119873,1161.1199,XSUU+3P,1217.182473,1233.0821850000002,1325.125461
S,0,2,1,0,0,3,_H2S_H2O,4.0,SCCG+3P-H2S-H2O,1163.178426,1163.1784,1164.186251,1164.1863,XCCG+3P,1220.248851,1236.1485630000002,1328.191839
S,1,1,0,1,0,3,_H2S_H2O,4.0,SACS+3P-H2S-H2O,1164.144684,1164.1447,1165.152509,1165.1525,XACS+3P,1221.215109,1237.1148210000001,1329.158097
S,0,1,1,0,1,3,_H2S_H2O,4.0,SCGU+3P-H2S-H2O,1164.162442,1164.1624,1165.170267,1165.1703,XCGU+3P,1221.232867,1237.132579,1329.175855
S,1,0,0,1,1,3,_H2S_H2O,4.0,SASU+3P-H2S-H2O,1165.1287,1165.1287,1166.136525,1166.1365,XASU+3P,1222.1991249999999,1238.098837,1330.1421129999999
S,0,0,1,0,2,3,_H2S_H2O,4.0,SGUU+3P-H2S-H2O,1165.146458,1165.1465,1166.154283,1166.1543,XGUU+3P,1222.216883,1238.116595,1330.159871
S,1,2,0,0,0,3,_H2S,4.0,SACC+3P-H2S,1165.194076,1165.1941,1166.201901,1166.2019,XACC+3P,1222.2645009999999,1238.164213,1330.207489
S,1,1,0,0,1,3,_H2S,4.0,SACU+3P-H2S,1166.178092,1166.1781,1167.185917,1167.1859,XACU+3P,1223.248517,1239.148229,1331.191505
S,1,0,0,0,2,3,_H2S,4.0,SAUU+3P-H2S,1167.162108,1167.1621,1168.169933,1168.1699,XAUU+3P,1224.2325329999999,1240.1322449999998,1332.175521
S,2,1,0,0,0,3,_H2S_H2O,4.0,SAAC+3P-H2S-H2O,1171.194744,1171.1947,1172.2025689999998,1172.2026,XAAC+3P,1228.2651689999998,1244.1648809999997,1336.2081569999998
S,2,0,0,0,1,3,_H2S_H2O,4.0,SAAU+3P-H2S-H2O,1172.17876,1172.1788,1173.186585,1173.1866,XAAU+3P,1229.249185,1245.148897,1337.192173
S,0,0,0,3,0,3,_H2S_H2O,4.0,SSSS+3P-H2S-H2O,1174.055797,1174.0558,1175.063622,1175.0636,XSSS+3P,1231.1262219999999,1247.0259339999998,1339.0692099999999
S,0,1,0,2,0,3,_H2S,4.0,SCSS+3P-H2S,1175.105189,1175.1052,1176.113014,1176.113,XCSS+3P,1232.175614,1248.0753260000001,1340.118602
S,0,0,0,2,1,3,_H2S,4.0,SSSU+3P-H2S,1176.089205,1176.0892,1177.09703,1177.097,XSSU+3P,1233.1596299999999,1249.059342,1341.102618
S,0,1,1,1,0,3,_H2S_H2O,4.0,SCGS+3P-H2S-H2O,1180.139599,1180.1396,1181.147424,1181.1474,XCGS+3P,1237.210024,1253.1097359999999,1345.153012
